Sample,Species,Taxon,10_0,2,3,12_0,5,13_0,7,8,14_0,10,14_1,12,15_0,14,15,16_0,16_1,18,17_0,17_1,21,18_0,18_1,24,25,18_2,27,18_3n6,29,30,18_3n3,32,33,20_0,20_1,20_2,37,20_3n6,39,20_4n6,20_3n3,42,43,44,20_5n3,22_0,47,22_1,49,50,51,22_2,53,22_4,55,22_5,24_0,22_6n4__24_1(comb),60
AC1_A,acl,mollusc,0,0,0,0,0,0,0,0,0.025132975,0.005996079,0.001114229,0.006127572,0.006627475,0.001515727,0.008473437,0.169174838,0.137095092,0.027786232,0.019494432,0.012966701,0.019135362,0.051597202,0.113204632,0,0,0.038032804,0.007162982,0.004478207,0,0,0.028719957,0.008984511,0,0.003907887,0.051679799,0.012897612,0,0.002275697,0,0.046947307,0,0,0,0.002953624,0.056263794,0,0,0,0.011001429,0,0,0,0.008985103,0.015911525,0.028311432,0.026125003,0,0.039919343,0
AC10_A,acl,mollusc,0,0,0,0,0,0,0,0.000610007,0.032796504,0.007725632,0.003212852,0.005697903,0.007876525,0.000784436,0.008657858,0.161181082,0.150842351,0.029124493,0.020123507,0.014428406,0.01759483,0.041215547,0.110583887,0.001836881,0,0.038060674,0.005259493,0.004450239,0,0,0.028148251,0.012734854,0,0.003634816,0.045354195,0.011513425,0.003281472,0.003600568,0,0.038855478,0,0,0,0.003347888,0.063926757,0.001667112,0,0.002157418,0.009931268,0,0,0,0.009646691,0.011778845,0.023931839,0.024774386,0,0.039651632,0
AC2_A,acl,mollusc,0,0,0,0,0,0,0,0,0.024399571,0.005665047,0.00084195,0.006007042,0.00652185,0.001573915,0.008200982,0.156451846,0.136174402,0.026368414,0.020288608,0.013001472,0.018352489,0.046691261,0.113358591,0,0,0.041396278,0.006872571,0.004628619,0,0,0.029519374,0.010868959,0,0.00385653,0.047721506,0.012964589,0.003313284,0.002213879,0,0.04521397,0,0,0,0.00383049,0.066147893,0.00149726,0,0,0.010722709,0,0,0,0.009792111,0.015143271,0.028009591,0.028386163,0,0.044003512,0
AC3_A,acl,mollusc,0,0,0,0,0,0,0,0,0.025771102,0.005603456,0,0.004907791,0.006757136,0,0.008749983,0.158444475,0.138174156,0.027950843,0.021162635,0.010441771,0.018963333,0.045392657,0.117720592,0,0,0.041280603,0.007557767,0,0,0,0.028572372,0.010749488,0,0.003863851,0.049800178,0.013241007,0,0,0,0.045055304,0,0,0,0.003334065,0.067587716,0,0,0,0.011050755,0,0,0,0.009868242,0.015319616,0.028295678,0.029358465,0,0.045024961,0
AC4_A,acl,mollusc,0,0,0,0,0,0,0,0.000739004,0.027241185,0.008163762,0.002031001,0.006095859,0.006768198,0.000692236,0.008701073,0.151142457,0.148515276,0.031466476,0.020537371,0.017267079,0.01858465,0.041008544,0.114588524,0,0,0.039590048,0.006032421,0.004449213,0,0,0.029676573,0.013163303,0,0.003961305,0.044672617,0.012289017,0,0.002501526,0,0.040653582,0,0,0,0.00331113,0.065509642,0,0,0.002209676,0.010349155,0,0,0,0.009021104,0.013538035,0.026491723,0.026855891,0,0.042181342,0
AC5_A,acl,mollusc,0,0,0,0,0,0,0,0,0.026892697,0.005326276,0.001116665,0.005898347,0.006587411,0,0.008650684,0.155299083,0.144623101,0.026891877,0.019099688,0.01389079,0.018833842,0.043191881,0.115577838,0,0,0.039725303,0.007828042,0,0,0,0.027514837,0.009985653,0,0.003647661,0.051027293,0.013341082,0,0,0,0.04662757,0,0,0,0.003348943,0.061576611,0.001492299,0,0,0.012417453,0,0,0,0.010664613,0.016545338,0.0294655,0.029176257,0,0.043735367,0
AC6_A,acl,mollusc,0,0,0,0,0,0,0,0,0.025910862,0.007603228,0.00123635,0.006079706,0.006961998,0,0.008908054,0.152233646,0.153239454,0.027146677,0.021473871,0.013591801,0.019233352,0.043258105,0.109573737,0,0,0.038974031,0.006999831,0.004452005,0,0,0.027886638,0.011481452,0,0.003891775,0.047249706,0.012994528,0,0.001526492,0,0.04352227,0,0,0,0.003147996,0.064197452,0,0,0.002163844,0.011509601,0,0,0,0.01014029,0.015350091,0.027357937,0.028405923,0,0.042297295,0
AC7_A,acl,mollusc,0,0,0,0,0,0,0,0,0.024914648,0.007158508,0.002308291,0.004149535,0.006484947,0.000939931,0.008793215,0.145837239,0.14473236,0.027620379,0.023206163,0.016465727,0.021146146,0.042306881,0.112560791,0,0,0.039964912,0.007446842,0.00432048,0,0,0.027611082,0.010986616,0,0.003578047,0.050244418,0.013027704,0,0.001650919,0,0.047210024,0,0,0,0.003267068,0.061398824,0,0,0,0.011854319,0,0,0,0.009746597,0.016089748,0.029428696,0.029069809,0,0.044479135,0
AC8_A,acl,mollusc,0,0,0,0,0,0,0,0.000724763,0.028296887,0.007912409,0.001653548,0.005797644,0.00664565,0.000910729,0.008804521,0.14800166,0.148661152,0.030127869,0.020051538,0.01446896,0.019477053,0.041790147,0.111269837,0,0,0.038539349,0.006606072,0.004258474,0,0,0.028047001,0.012422629,0,0.003513974,0.047218358,0.012677379,0.003172502,0.002139795,0,0.04335907,0,0,0,0.003325951,0.064341669,0.0015851,0,0.002182351,0.011578457,0,0,0,0.009278998,0.014466046,0.027202544,0.026984677,0,0.042505237,0
AC9_A,acl,mollusc,0,0,0,0,0,0,0,0,0.023178647,0.004572213,0.002897614,0.005228243,0.007091733,0.000961493,0.008297135,0.140558428,0.116885292,0.029323532,0.020633263,0.01396814,0.019317121,0.043429477,0.10130311,0,0,0.035503395,0.008195692,0,0.002081953,0,0.024211222,0.008831745,0,0.003519096,0.054000818,0.084132839,0.003570442,0.00147099,0,0.046852034,0,0,0,0.00294978,0.054174102,0,0.001750152,0,0.01247329,0,0,0,0.009119511,0.016194618,0.027917739,0.026471424,0,0.038933718,0
