sample,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,taxon,species
AC1_A,-4.274026542,1.512957139,0.647641739,0.678742249,-2.236436601,-1.750310002,-3.141868053,0.141707407,-0.973888742,-0.026203505,mollusc,acl
AC10_A,-3.999294471,2.705221709,-0.340630087,0.433633824,-1.642247259,-1.977934447,-3.230431454,1.010376021,-0.148700945,0.48199912,mollusc,acl
AC2_A,-4.568803913,2.278556578,0.273514798,0.887954546,-1.825304888,-1.970252886,-3.519361204,0.756838927,-0.385705833,0.068499103,mollusc,acl
AC3_A,-4.37397804,0.903644068,0.541541251,0.893597194,-2.933151332,-1.829793856,-3.483944804,-0.022326393,-0.961111028,0.572424823,mollusc,acl
AC4_A,-3.881402114,2.309025097,0.195514618,0.050429575,-2.518188958,-1.764313065,-3.372762784,0.423954958,-0.518427083,0.199754829,mollusc,acl
AC5_A,-4.470784645,1.027751661,0.241389772,0.966634496,-3.150297736,-1.858062829,-3.497916992,-0.154430044,-1.055799511,0.658873806,mollusc,acl
AC6_A,-4.533539909,1.8471552,0.419728689,0.371531443,-2.876445624,-1.551130731,-3.409190905,0.385450362,-0.719400864,0.459809852,mollusc,acl
AC7_A,-4.515080982,1.785887708,0.514063492,0.605784971,-3.149083598,-1.642457447,-3.300949471,0.248464991,-0.880759965,0.144529823,mollusc,acl
AC8_A,-4.472176014,2.690146233,-0.309848624,0.590111736,-2.004707616,-2.105083018,-3.51099362,0.847529579,-0.108574688,0.397532577,mollusc,acl
AC9_A,-6.341834604,3.121381175,-1.554693893,3.427700317,-1.545832145,-3.428492897,-4.402641757,2.983396546,-0.768441506,-0.229712625,mollusc,acl
IAC1_A,-0.683853455,1.434105026,4.694724295,-0.123175374,-1.012132623,0.341569057,2.048017776,-0.573097733,-0.449698941,0.48836629,fish,acr
IAC2_A,0.342964833,3.397735422,3.332814465,-0.261471786,-2.046311401,1.812479955,-0.569455514,0.511065192,-2.169921578,-2.320380302,fish,acr
IAC3_A,-1.124936833,-1.01086133,4.249681328,1.450934259,0.797097571,1.030335444,-0.65418587,-1.564849205,-1.119288193,-1.601710207,fish,acr
IAC4_A,-0.578273828,2.095360891,4.262891275,-0.83787824,-1.29951937,-0.572132245,1.166352495,-1.324117183,0.512030563,1.033678767,fish,acr
IAC5_A,-0.367514119,2.638224376,4.723120117,-1.055170148,-2.259247304,0.13512658,2.519588352,-0.124157064,0.420634795,0.755012295,fish,acr
