state,attraction,age,pMatch,matchRatio,height,casSexold,casSex,state_biold,state_bi,state_swing,state_mlold,state_ml,state_pgold,state_pg,state_hsold,state_hs,overall,eold,enemy
Oklahoma,2,37.5,33.25,1.277494024,167,0,0.001,0,0.0001,0,0,0.0001,0,0.0001,0.333333333,0.333433333,-1.443162664,18,18.00001
Delaware,2.5,38,30.5,0.856575392,169,0,0.001,0,0.0001,0,0,0.0001,0,0.0001,1,1.0001,-1.323013058,50.5,50.50001
South Dakota,2.333333333,38.33333333,48,1.112927923,170.5,0,0.001,0,0.0001,0,0,0.0001,0,0.0001,0,0.0001,-1.226760053,36.33333333,36.33334333
Kentucky,2.4,38.6,50.2,1.100025164,166,0,0.001,0.2,0.2001,0,0,0.0001,0,0.0001,0.25,0.2501,-1.159976129,35.6,35.60001
Alabama,2.5,36,59.75,1.162,162.5,0,0.001,0,0.0001,0,0.25,0.2501,0.333333333,0.333433333,0,0.0001,-0.964274826,35.25,35.25001
Georgia,2.555555556,39.55555556,49.88888889,1.220182569,172.7142857,0.111111111,0.112111111,0.125,0.1251,0,0.333333333,0.333433333,0,0.0001,0.166666667,0.166766667,-0.82765371,21.55555556,21.55556556
Mississippi,2.75,35.25,34,1.090132818,164.6666667,0,0.001,0,0.0001,0,0,0.0001,0,0.0001,0.333333333,0.333433333,-0.741415835,16.25,16.25001
Nebraska,2.666666667,35.33333333,57.66666667,1.19273155,170.8333333,0.166666667,0.167666667,0,0.0001,0,0,0.0001,0,0.0001,0.333333333,0.333433333,-0.723331572,26,26.00001
Iowa,2.666666667,33,66.66666667,1.329617547,165.6666667,0.333333333,0.334333333,0.333333333,0.333433333,0.333333333,0.333333333,0.333433333,0,0.0001,0.5,0.5001,-0.562551335,23,23.00001
Minnesota,2.785714286,37.21428571,57.92857143,1.225633337,166.2857143,0.071428571,0.072428571,0.071428571,0.071528571,0,0.071428571,0.071528571,0.461538462,0.461638462,0.076923077,0.077023077,-0.538367062,28.71428571,28.71429571
Indiana,2.875,36.375,45.625,1.139547698,164.5,0.125,0.126,0.125,0.1251,0.125,0.125,0.1251,0.166666667,0.166766667,0.5,0.5001,-0.529739801,25.375,25.37501
Michigan,2.75,41.25,48.5,1.284991369,160,0,0.001,0.25,0.2501,0,0.25,0.2501,0,0.0001,0,0.0001,-0.512543601,32.25,32.25001
Ohio,2.75,38.5625,54.75,1.292989613,162,0.0625,0.0635,0.1875,0.1876,0,0.0625,0.0626,0.3,0.3001,0.2,0.2001,-0.503149218,20.75,20.75001
New Mexico,2.857142857,39.14285714,55.42857143,1.186858834,166,0,0.001,0,0.0001,0,0.142857143,0.142957143,0.5,0.5001,0,0.0001,-0.496118163,23,23.00001
Texas,2.785714286,36.78571429,49.67857143,1.283075452,162.8,0,0.001,0.071428571,0.071528571,0,0.142857143,0.142957143,0,0.0001,0.090909091,0.091009091,-0.470898095,31,31.00001
Tennessee,2.888888889,37.83333333,53.77777778,1.178065186,166.8571429,0,0.001,0.111111111,0.111211111,0,0.111111111,0.111211111,0,0.0001,0,0.0001,-0.467428253,26.16666667,26.16667667
Virginia,2.888888889,35.22222222,61.33333333,1.194057337,165.7777778,0.111111111,0.112111111,0.111111111,0.111211111,0,0.111111111,0.111211111,0.375,0.3751,0,0.0001,-0.448644579,27.44444444,27.44445444
Wisconsin,2.857142857,34.5,50.375,1.283040777,167.4,0.125,0.126,0.125,0.1251,0,0.125,0.1251,0.25,0.2501,0.25,0.2501,-0.411407065,13.625,13.62501
Arkansas,3,22,55,1.150678105,176,0,0.001,0,0.0001,0,0,0.0001,0,0.0001,0,0.0001,-0.363031015,28,28.00001
Connecticut,3,33,54,1.159447787,163,0,0.001,0,0.0001,0,0.5,0.5001,0,0.0001,0,0.0001,-0.352730535,27,27.00001
North Dakota,2.833333333,35,63,1.387948463,167.3333333,0,0.001,0.333333333,0.333433333,0.166666667,0.166666667,0.166766667,0,0.0001,0.2,0.2001,-0.289191086,17,17.00001
Oregon,3,39,67,1.287955762,161,0,0.001,0,0.0001,0,0,0.0001,0.5,0.5001,0,0.0001,-0.201790752,23.66666667,23.66667667
Alaska,3.166666667,33.83333333,54.16666667,1.12374198,166.4,0.166666667,0.167666667,0.166666667,0.166766667,0,0.166666667,0.166766667,0.4,0.4001,0,0.0001,-0.18982166,38,38.00001
Maine,3,36,80,1.333766653,170,0,0.001,0,0.0001,0,0,0.0001,0,0.0001,0,0.0001,-0.147983307,20,20.00001
